자치구,법정동,주거점수,교통점수,치안점수,생활점수_x,보증금(만원),임대료(만원),건축년도,공급건수,전월세평균,가격점수,안정성점수,공급점수,노후도점수,가장가까운역,거리_km,Unnamed: 0,평균소음(dB),공원수,병의원수,점포수,살인,강도,강간·강제추행,절도,폭력,CCTV,CCTV밀도(대/㎢),가로등수,가로등밀도(개/㎢),위도(법정동),경도(법정동),근처버스정류장수
중랑구,신내동,0.698470192,0.811565864,0.777256816,0.460469897,17813.56382,18.5542466,2005.098874,2639.666667,17832.11807,81.38901445,66.69290696,15.62395186,89.8022519,신내,0.310535533,24,47.04337947,108,640,14,6,2,169,1402,1745,5392,482.289803,735,65.742397,37.61260287,127.1008091,26
중랑구,중화동,0.728626082,0.787643768,0.777256816,0.460469897,12533.75212,24.65156055,2004.905019,2083.333333,12558.40368,86.99845378,69.92613745,12.33106442,90.18996102,중화,0.252998269,24,47.04337947,108,640,14,6,2,169,1402,1745,5392,482.289803,735,65.742397,37.60050155,127.078147,30
중랑구,상봉동,0.72131526,0.737901567,0.777256816,0.460469897,15791.03292,25.17175321,2010.488274,2870.666667,15816.20468,83.53326099,79.81347376,16.99122028,79.02345141,상봉,0.335297166,24,47.04337947,108,640,14,6,2,169,1402,1745,5392,482.289803,735,65.742397,37.5984771,127.0871207,17
중랑구,망우동,0.692607869,0.461573487,0.777256816,0.460469897,13575.343,24.9982798,2007.817468,2586,13600.34128,85.89018638,56.82494229,15.30630364,84.36506488,신내,1.451819403,24,47.04337947,108,640,14,6,2,169,1402,1745,5392,482.289803,735,65.742397,37.59958767,127.1063289,13
중랑구,묵동,0.732141148,0.742417184,0.777256816,0.460469897,15484.03641,26.04875409,2006.328002,2201.666667,15510.08517,83.85886809,81.14180564,13.03146888,87.34399529,먹골,0.291457512,24,47.04337947,108,640,14,6,2,169,1402,1745,5392,482.289803,735,65.742397,37.61271323,127.0797418,27
중랑구,면목동,0.754252089,0.798886619,0.777256816,0.460469897,14263.36017,26.43396128,2004.480475,6710.333333,14289.79413,85.15684292,66.16625141,39.71786525,91.03904908,사가정,0.174409229,24,47.04337947,108,640,14,6,2,169,1402,1745,5392,482.289803,735,65.742397,37.5823762,127.0892188,23
도봉구,방학동,0.779361972,0.466481712,0.750632385,0.349578815,12935.02373,25.4720152,1998.649573,2432,12960.49574,86.57076452,85.43234039,14.39479136,102.7008546,쌍문,1.910464648,9,47.34564681,81,413,8,7,4,90,995,825,2808,285.365854,65,6.605691,37.6652838,127.0310645,26
도봉구,창동,0.807680251,0.686087608,0.750632385,0.349578815,16683.3783,24.19325258,1998.231403,4902.333333,16707.57155,82.58514966,97.96199993,29.0164743,103.5371942,창동,0.628582986,9,47.34564681,81,413,8,7,4,90,995,825,2808,285.365854,65,6.605691,37.64774603,127.0440651,18
도봉구,도봉동,0.760105268,0.166063234,0.750632385,0.349578815,13062.76792,26.0983164,2000.806392,1557.666667,13088.86624,86.43422195,83.26189936,9.219690244,98.38721602,도봉산,1.599365191,9,47.34564681,81,413,8,7,4,90,995,825,2808,285.365854,65,6.605691,37.6848491,127.0292346,0
도봉구,쌍문동,0.791746872,0.583618807,0.750632385,0.349578815,13300.1314,24.25583206,1998.711049,2476,13324.38723,86.18370767,92.48932249,14.65522344,102.5779022,쌍문,0.855278235,9,47.34564681,81,413,8,7,4,90,995,825,2808,285.365854,65,6.605691,37.6533578,127.0270975,25
광진구,광장동,0.573209491,0.762388648,0.743992997,0.327236178,47045.26879,33.45911607,1995.524413,1312.333333,47078.72791,50.28056384,73.36426701,7.767584098,108.9511747,광나루,0.301383425,5,47.64320912,68,643,12,2,5,238,1616,1563,4636,392.881356,1313,111.271186,37.54783307,127.1047101,21
광진구,능동,0.736947749,0.576887586,0.743992997,0.327236178,11049.79482,32.25481987,2007.486676,1239.333333,11082.04964,88.5687926,77.7802797,7.335503601,85.02664719,어린이대공원,0.690453168,5,47.64320912,68,643,12,2,5,238,1616,1563,4636,392.881356,1313,111.271186,37.55057943,127.0817382,2
광진구,구의동,0.684251343,0.597744279,0.743992997,0.327236178,20844.24445,35.04144792,2005.728235,4943.666667,20879.2859,78.14786375,58.40252209,29.26112262,88.54353098,아차산,0.890262713,5,47.64320912,68,643,12,2,5,238,1616,1563,4636,392.881356,1313,111.271186,37.54441002,127.0928495,14
광진구,군자동,0.763399212,0.711332051,0.743992997,0.327236178,9424.911214,33.36066003,2002.430426,1567,9458.271874,90.29594014,77.64919495,9.274933412,95.13914716,어린이대공원,0.569897769,5,47.64320912,68,643,12,2,5,238,1616,1563,4636,392.881356,1313,111.271186,37.55303739,127.073672,20
광진구,자양동,0.769669927,0.64681256,`,0.327236178,21019.82877,36.23886706,2002.254113,6233.333333,21056.06764,77.95982807,90.64565453,36.89454474,95.49177394,뚝섬유원지,0.690523849,5,47.64320912,68,643,12,2,5,238,1616,1563,4636,392.881356,1313,111.271186,37.53169642,127.0745245,14
광진구,화양동,0.790334757,0.722562491,0.743992997,0.327236178,5944.541621,44.73831625,2004.365695,3612.333333,5989.279937,93.9857683,75.71569116,21.38107921,91.26860968,건대입구,0.321127726,5,47.64320912,68,643,12,2,5,238,1616,1563,4636,392.881356,1313,111.271186,37.54323209,127.0732226,11
광진구,중곡동,0.780970532,0.691640762,0.743992997,0.327236178,11766.32137,29.45149613,2005.558909,4831,11795.77286,87.80963371,82.85385125,28.59425866,88.88218187,중곡,0.4746393,5,47.64320912,68,643,12,2,5,238,1616,1563,4636,392.881356,1313,111.271186,37.56353621,127.0887871,17
양천구,신정동,0.50241876,0.679943404,0.742763003,0.561959282,41098.29219,38.73773183,1999.307419,75.66666667,41137.02992,56.60051064,33.33333333,0.44786426,101.3851624,광흥창,0.51123157,18,46.26312821,121,743,20,6,2,113,1404,1494,4854,361.429635,150,11.169025,37.54301681,126.9304642,14
양천구,신정동,0.568798556,0.679943404,0.742763003,0.561959282,28389.17473,23.52305969,2000.43784,7821,28412.69779,70.13487445,0,46.29180231,99.12432028,광흥창,0.51123157,18,46.26312821,121,743,20,6,2,113,1404,1494,4854,361.429635,150,11.169025,37.54301681,126.9304642,14
양천구,신정동,0.50241876,0.679943404,0.742763003,0.561959282,41098.29219,38.73773183,1999.307419,75.66666667,41137.02992,56.60051064,33.33333333,0.44786426,101.3851624,광흥창,0.51123157,18,46.26312821,121,743,20,6,2,113,1404,1494,4854,361.429635,150,11.169025,37.51519424,126.8557197,18
양천구,신정동,0.568798556,0.679943404,0.742763003,0.561959282,28389.17473,23.52305969,2000.43784,7821,28412.69779,70.13487445,0,46.29180231,99.12432028,광흥창,0.51123157,18,46.26312821,121,743,20,6,2,113,1404,1494,4854,361.429635,150,11.169025,37.51519424,126.8557197,18
양천구,신정동,0.50241876,0.679943404,0.742763003,0.561959282,41098.29219,38.73773183,1999.307419,75.66666667,41137.02992,56.60051064,33.33333333,0.44786426,101.3851624,신정네거리,0.612614295,18,46.26312821,121,743,20,6,2,113,1404,1494,4854,361.429635,150,11.169025,37.54301681,126.9304642,14
양천구,신정동,0.568798556,0.679943404,0.742763003,0.561959282,28389.17473,23.52305969,2000.43784,7821,28412.69779,70.13487445,0,46.29180231,99.12432028,신정네거리,0.612614295,18,46.26312821,121,743,20,6,2,113,1404,1494,4854,361.429635,150,11.169025,37.54301681,126.9304642,14
양천구,신정동,0.50241876,0.679943404,0.742763003,0.561959282,41098.29219,38.73773183,1999.307419,75.66666667,41137.02992,56.60051064,33.33333333,0.44786426,101.3851624,신정네거리,0.612614295,18,46.26312821,121,743,20,6,2,113,1404,1494,4854,361.429635,150,11.169025,37.51519424,126.8557197,18
양천구,신정동,0.568798556,0.679943404,0.742763003,0.561959282,28389.17473,23.52305969,2000.43784,7821,28412.69779,70.13487445,0,46.29180231,99.12432028,신정네거리,0.612614295,18,46.26312821,121,743,20,6,2,113,1404,1494,4854,361.429635,150,11.169025,37.51519424,126.8557197,18
양천구,목동,0.723837146,0.469197639,0.742763003,0.561959282,34246.29548,31.57248876,2000.554934,7498,34277.86797,63.89632722,94.72515993,44.37999408,98.89013272,오목교,1.275887164,18,46.26312821,121,743,20,6,2,113,1404,1494,4854,361.429635,150,11.169025,37.53604508,126.8745212,19
양천구,신월동,0.677466293,0.420194492,0.742763003,0.561959282,17383.19637,22.48464167,2003.703254,4409.333333,17405.68101,81.84259851,45.10769347,26.09845122,92.59349125,까치산,1.237750322,18,46.26312821,121,743,20,6,2,113,1404,1494,4854,361.429635,150,11.169025,37.52660665,126.8343205,8
성동구,금호동3가,0.646629566,0.785282457,0.740244738,0.432791358,28846.05599,32.71326028,1997.631626,600.3333333,28878.76925,69.63913285,67.99940084,3.553319523,104.7367471,금호,0.378909715,15,46.91429396,105,546,8,2,2,119,893,1007,4638,371.932638,1590,127.506014,37.54989243,127.0195571,47
성동구,금호동2가,0.528856778,0.823351267,0.740244738,0.432791358,43689.59478,70.36525542,2010.193669,549.3333333,43759.96003,53.81060466,67.75378906,3.251455066,79.61266288,신금호,0.162504859,15,46.91429396,105,546,8,2,2,119,893,1007,4638,371.932638,1590,127.506014,37.55303987,127.0204149,48
성동구,금호동1가,0.495800951,0.748899424,0.740244738,0.432791358,44311.87433,52.15879088,2008.849201,735,44364.03312,53.16807624,49.9912868,4.350399526,82.30159788,신금호,0.419003074,15,46.91429396,105,546,8,2,2,119,893,1007,4638,371.932638,1590,127.506014,37.55356068,127.0249945,57
성동구,용답동,0.69749722,0.844032213,0.740244738,0.432791358,9831.272396,31.68752121,2006.776573,1281,9862.959917,89.86548964,53.56315235,7.582124889,86.44685341,신답,0.001043708,15,46.91429396,105,546,8,2,2,119,893,1007,4638,371.932638,1590,127.506014,37.56146713,127.0563592,11
