자치구,법정동,주거점수,교통점수,치안점수,생활점수,가장가까운역,거리_km,Unnamed: 0,평균소음(dB),공원수,병의원수,점포수,위도,경도
중랑구,신내동,0.648106346,0.811565864,0.777256816,0.460469897,신내,0.310535533,24,47.04337947,108,640,14,37.61260287301914,127.10080910608409
중랑구,중화동,0.630572119,0.787643768,0.777256816,0.460469897,중화,0.252998269,24,47.04337947,108,640,14,37.60050154630933,127.07814697591073
중랑구,상봉동,0.604608837,0.737901567,0.777256816,0.460469897,상봉,0.335297166,24,47.04337947,108,640,14,37.59847710042048,127.0871206825788
중랑구,망우동,0.632566069,0.461573487,0.777256816,0.460469897,신내,1.451819403,24,47.04337947,108,640,14,37.59958767299525,127.1063289111882
중랑구,묵동,0.631342056,0.742417184,0.777256816,0.460469897,먹골,0.291457512,24,47.04337947,108,640,14,37.61271322824592,127.0797417534168
중랑구,면목동,0.626890333,0.798886619,0.777256816,0.460469897,사가정,0.174409229,24,47.04337947,108,640,14,37.582376203370096,127.08921883852842
도봉구,방학동,0.636567225,0.466481712,0.750632385,0.349578815,쌍문,1.910464648,9,47.34564681,81,413,8,37.66528379988991,127.0310645154217
도봉구,창동,0.614546413,0.686087608,0.750632385,0.349578815,창동,0.628582986,9,47.34564681,81,413,8,37.64774603131141,127.04406507195114
도봉구,도봉동,0.624170038,0.166063234,0.750632385,0.349578815,도봉산,1.599365191,9,47.34564681,81,413,8,37.68484909907414,127.02923455286104
도봉구,쌍문동,0.623631028,0.583618807,0.750632385,0.349578815,쌍문,0.855278235,9,47.34564681,81,413,8,37.65335779504591,127.02709753032153
광진구,광장동,0.621398708,0.762388648,0.743992997,0.327236178,광나루,0.301383425,5,47.64320912,68,643,12,37.54783306507074,127.10471008683704
광진구,능동,0.604813646,0.576887586,0.743992997,0.327236178,어린이대공원,0.690453168,5,47.64320912,68,643,12,37.550579426445054,127.0817382032338
광진구,구의동,0.608305424,0.597744279,0.743992997,0.327236178,아차산,0.890262713,5,47.64320912,68,643,12,37.54441002495377,127.09284951513963
광진구,군자동,0.604780925,0.711332051,0.743992997,0.327236178,어린이대공원,0.569897769,5,47.64320912,68,643,12,37.55303739209482,127.07367204366176
광진구,자양동,0.598013989,0.64681256,0.743992997,0.327236178,뚝섬유원지,0.690523849,5,47.64320912,68,643,12,37.53169641843212,127.074524470634
광진구,화양동,0.578448334,0.722562491,0.743992997,0.327236178,건대입구,0.321127726,5,47.64320912,68,643,12,37.54323208852093,127.0732226236489
광진구,중곡동,0.621706301,0.691640762,0.743992997,0.327236178,중곡,0.4746393,5,47.64320912,68,643,12,37.56353621035611,127.08878706575214
양천구,신정동,0.595288034,0.679943404,0.742763003,0.561959282,광흥창,0.51123157,18,46.26312821,121,743,20,37.5430168110661,126.93046415262096
